Baso population #,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8,Metric 9,Metric 10,Metric 11,Metric 12,% of activated basophils
1,0.760576017,0.779819205,0.756187208,0.655455652,0.589177719,0.53433796,-0.018224138,-0.13540987,-0.170273337,-0.171284274,-0.259092658,-0.315203451,65.9
1,0.945876268,0.835091153,0.774556746,0.705757654,0.60117875,0.557833699,-0.031053154,-0.128849926,-0.17203512,-0.189233576,-0.23417964,-0.269238984,65.9
1,1.037695201,0.960408358,0.94118981,0.835033649,0.719227926,0.636648295,0.00998028,-0.147152319,-0.156139838,-0.215262058,-0.265177668,-0.303219446,65.9
1,0.773060447,0.705367759,0.70227629,0.63712931,0.56822989,0.507355699,0.059976863,-0.131429006,-0.13620692,-0.165718357,-0.217525624,-0.255197538,65.9
1,1.004980661,0.914684491,0.873864384,0.747432851,0.70030932,0.591497646,-0.035697394,-0.175353129,-0.156032538,-0.182869266,-0.243023793,-0.2964456,65.9
1,1.184792286,1.027183345,0.992702292,0.853366053,0.751319453,0.65746823,-0.037942325,-0.175921796,-0.17420376,-0.197489997,-0.236702618,-0.245005085,65.9
1,0.9176487,0.770757641,0.745830246,0.652558119,0.599315045,0.504624882,0.000549739,-0.151491107,-0.108372921,-0.136780343,-0.23941648,-0.323759987,65.9
1,0.771322204,0.698486058,0.673564442,0.5908378,0.529105914,0.441899142,0.071559776,-0.091981295,-0.196945646,-0.153317769,-0.212958849,-0.411412094,65.9
1,1.036677769,0.915732939,0.893406902,0.732469539,0.641511983,0.556410905,-0.097927875,-0.194289401,-0.176616831,-0.228823282,-0.287584411,-0.32896104,65.9
1,0.98655849,0.855538973,0.834661248,0.739397825,0.649494131,0.532836936,-0.092128571,-0.131878005,-0.14682253,-0.223746706,-0.268214526,-0.333901215,65.9
1,1.153720379,0.97437617,0.934487572,0.81008151,0.727916395,0.611887414,-0.014280435,-0.172987475,-0.172365406,-0.225224782,-0.226818134,-0.306559647,65.9
1,0.855575414,0.791766028,0.725820807,0.652128293,0.570791349,0.528264383,-0.069917571,-0.123438072,-0.122286139,-0.160075892,-0.248397111,-0.280174794,65.9
1,0.881257061,0.738894794,0.736734351,0.62415763,0.56691022,0.515990309,-0.009570446,-0.096171784,-0.151412501,-0.187498205,-0.261504446,-0.304063861,65.9
1,1.019383988,0.836530313,0.847961844,0.746311917,0.659802722,0.596676196,-0.006911806,-0.123636399,-0.127214905,-0.163796191,-0.233919515,-0.310535246,65.9
1,1.124804596,1.09341413,1.052949167,0.870937909,0.792148248,0.685664967,-0.024849364,-0.158186815,-0.163070828,-0.201367134,-0.275125282,-0.327053178,65.9
1,0.876868796,0.800953337,0.792192986,0.677005788,0.585376415,0.544132571,0.084479906,-0.158866154,-0.182685913,-0.189800652,-0.250210825,-0.278034194,65.9
1,0.988386924,0.934101282,0.89619304,0.812176741,0.702005772,0.665241148,0.046876835,-0.134138267,-0.154244967,-0.176098562,-0.234457763,-0.26498102,65.9
1,0.788897086,0.661019165,0.637385848,0.559469992,0.502058854,0.454031772,-0.066372966,-0.127852367,-0.143769344,-0.145384681,-0.235975862,-0.328787263,65.9
1,0.846720116,0.761969002,0.737085121,0.670116228,0.579631026,0.507671374,0.010758884,-0.15902367,-0.170688878,-0.154369548,-0.215500126,-0.303487426,65.9
1,0.766695391,0.639904535,0.603386629,0.549503665,0.481458223,0.428669254,-0.019443004,-0.134630443,-0.143639966,-0.163981517,-0.242507788,-0.315322694,65.9
1,0.945616402,0.891382764,0.872772004,0.771083654,0.657899602,0.576589038,-0.003805336,-0.146137075,-0.141385706,-0.216171656,-0.271315854,-0.288765507,65.9
1,1.121445058,1.033922825,1.000254405,0.892503841,0.778743785,0.685060013,-0.02179549,-0.11069192,-0.152548657,-0.246266691,-0.297889224,-0.373049926,65.9
1,0.959224617,0.961148893,0.935301959,0.773779338,0.683452905,0.565776657,0.004346465,-0.170538552,-0.198536519,-0.187576237,-0.236851486,-0.332144159,65.9
1,1.036888444,0.858894931,0.833695191,0.729626722,0.651946739,0.548660946,0.050964322,-0.146200984,-0.156582487,-0.19931192,-0.283219857,-0.339384595,65.9
1,1.014112469,1.01243587,0.954175326,0.783594103,0.693655753,0.587016437,-0.067270584,-0.15283188,-0.189367696,-0.226713859,-0.293859616,-0.33292239,65.9
1,1.016027454,0.894992797,0.855739911,0.705900959,0.624781532,0.591272329,0.04490854,-0.140829766,-0.207778339,-0.217351073,-0.238954079,-0.298174492,65.9
1,1.074331887,1.04638821,1.013521729,0.87212419,0.746540012,0.625552106,-0.053389187,-0.131195537,-0.161015011,-0.186654681,-0.275910872,-0.320168034,65.9
1,0.923516689,0.803064761,0.751551333,0.680426133,0.592599934,0.53465469,-0.007017295,-0.165809546,-0.140093282,-0.155674062,-0.228775597,-0.309798498,65.9
1,0.780893756,0.744457091,0.685451086,0.613741798,0.567860617,0.501345833,-0.018127641,-0.146833984,-0.154112971,-0.166488572,-0.236628206,-0.310545243,65.9
1,1.084231753,0.942757258,0.869273248,0.766004588,0.66967647,0.586147674,0.027646858,-0.201593361,-0.212320943,-0.200293701,-0.256860845,-0.323774925,65.9
1,1.060780882,0.930579829,0.887015827,0.786440144,0.664805878,0.591083656,-0.089541458,-0.156061571,-0.165873258,-0.210385381,-0.260676952,-0.265259519,65.9
1,0.852960721,0.79405847,0.765354024,0.667445032,0.598281942,0.540774574,0.008088045,-0.118579061,-0.178850696,-0.185665021,-0.235819859,-0.343672824,65.9
1,1.042698825,0.895262262,0.837868162,0.73275235,0.656586878,0.576962937,-0.085259365,-0.111598685,-0.184634053,-0.197292562,-0.244654913,-0.31518237,65.9
1,0.758602847,0.607902435,0.60297712,0.539491934,0.504321818,0.472318874,-0.023894796,-0.122645108,-0.136278003,-0.140569408,-0.24755128,-0.239934087,65.9
1,1.164607667,1.045524791,1.009594485,0.846755541,0.767367802,0.685831508,0.015867326,-0.161422367,-0.157655926,-0.214902055,-0.248193531,-0.253794933,65.9
1,1.08715821,1.032851969,0.978602556,0.867331378,0.737724442,0.621423394,-0.008193575,-0.172901633,-0.159729097,-0.210444388,-0.300045773,-0.451941851,65.9
1,0.932346335,0.838591654,0.81342347,0.740635995,0.586625017,0.481916716,-0.101643931,-0.048351731,-0.125025522,-0.252742484,-0.51762852,-0.674202163,65.9
1,0.922239526,0.818830522,0.793039406,0.71632776,0.651808707,0.578936806,0.028939566,-0.124679629,-0.127644278,-0.152686799,-0.238139308,-0.304333228,65.9
1,0.798278833,0.708064563,0.707082939,0.591326354,0.55519015,0.48848274,-0.037222704,-0.157641832,-0.183317571,-0.19110507,-0.247845496,-0.332338886,65.9
1,0.892559632,0.775136104,0.77781026,0.673360392,0.620536595,0.496474237,-0.100714787,-0.152682072,-0.16890425,-0.177793785,-0.232466612,-0.335732774,65.9
1,0.917965904,0.780348325,0.762784115,0.683183315,0.597694426,0.546821675,-0.047664251,-0.144326943,-0.169013751,-0.198212542,-0.252290662,-0.291365497,65.9
1,0.853926945,0.677693056,0.676955288,0.59231555,0.523899133,0.490861438,-0.051574309,-0.111491918,-0.137799932,-0.215784134,-0.204707677,-0.32400649,65.9
1,0.937195785,0.886205151,0.850900605,0.732128273,0.655328169,0.52910366,0.011309746,-0.136064557,-0.117519274,-0.201774488,-0.304636141,-0.376107507,65.9
1,0.771677868,0.743563505,0.713797626,0.67218696,0.576527981,0.536812772,-0.019384215,-0.117610231,-0.178420533,-0.156170912,-0.214477793,-0.271289027,65.9
1,0.74482969,0.698901979,0.681234744,0.584565233,0.54429143,0.505534604,-0.112775403,-0.122549334,-0.14500989,-0.173233253,-0.237394779,-0.326372308,65.9
1,1.038099548,0.917420687,0.889081406,0.772534869,0.687685248,0.658442379,-0.001387323,-0.155449758,-0.176643739,-0.19250146,-0.208493862,-0.321195803,65.9
1,0.864394174,0.785314054,0.776157019,0.683667249,0.617144728,0.488303672,-0.058917968,-0.136966365,-0.191583109,-0.201241908,-0.265843597,-0.310020223,65.9
1,0.862233486,0.944509435,0.899612408,0.841143876,0.588205413,0.382612342,-0.062765348,-0.03470279,-0.128394707,-0.407260006,-0.766786861,-1.02236017,65.9
1,0.990902681,0.974328235,0.905458531,0.809635874,0.69814112,0.592327424,-0.009272513,-0.138016098,-0.143060588,-0.163457978,-0.269060105,-0.213147516,65.9
1,0.976274294,0.893351997,0.825863414,0.733525219,0.661325552,0.575339985,-0.009070957,-0.161026939,-0.174793855,-0.188953518,-0.267331785,-0.284032561,65.9
1,0.829986421,0.755144684,0.741691349,0.660494189,0.616745833,0.509199899,0.00843768,-0.147960003,-0.161646024,-0.149902116,-0.236525033,-0.283092286,65.9
1,0.895913935,0.673523735,0.687218845,0.627564637,0.546385423,0.499055954,-0.069254046,-0.160783185,-0.133410769,-0.139764525,-0.230694701,-0.338675215,65.9
1,0.895454135,0.794045703,0.788034314,0.71134535,0.605237611,0.56133227,-0.102817394,-0.15429349,-0.191054713,-0.139899334,-0.212749018,-0.189475456,65.9
1,0.844165572,0.780249355,0.721816619,0.646513425,0.578289166,0.48752027,-0.022845587,-0.177212344,-0.132786638,-0.171781083,-0.250561282,-0.38963968,65.9
1,1.030433031,0.93669481,0.894578475,0.750149454,0.691587225,0.597088959,0.003587787,-0.160334516,-0.128031512,-0.182201575,-0.216084968,-0.285118331,65.9
1,0.917366173,0.896423779,0.838576773,0.748950238,0.635036988,0.608026594,-0.044932867,-0.160820454,-0.20263679,-0.199924961,-0.23967958,-0.368954984,65.9
1,1.055253571,1.065028322,1.010352211,0.890304491,0.792808895,0.687465138,-0.035065815,-0.133839029,-0.138292889,-0.174088808,-0.266505765,-0.385471387,65.9
1,0.838013337,0.734555916,0.715574224,0.613756872,0.533801333,0.457921162,-0.037152874,-0.141918732,-0.157014627,-0.172841225,-0.250337625,-0.409816636,65.9
1,1.003738224,1.046598847,1.046821005,1.017701669,0.927689464,0.738188792,0.069813909,-0.027708927,-0.022408007,-0.160577505,-0.345097657,-0.599462441,65.9
1,0.894214135,0.817755911,0.82848177,0.72500961,0.642868417,0.580223258,-0.034061531,-0.121422022,-0.148574084,-0.176291719,-0.272553725,-0.344889745,65.9
1,0.920942799,0.775099577,0.795496674,0.660974188,0.615353878,0.507640088,0.084248935,-0.176500871,-0.177020431,-0.187253927,-0.246548358,-0.353830115,65.9
1,0.853373097,0.767342866,0.738053319,0.653220704,0.588315156,0.526570476,-0.085870961,-0.175157194,-0.137675179,-0.153606721,-0.208704938,-0.195231113,65.9
1,0.749740873,0.68545792,0.716383199,0.645015192,0.489915385,0.361218804,0.079289075,-0.094048989,-0.088182643,-0.328248536,-0.476826881,-0.564760119,65.9
1,0.918352662,0.845364236,0.864888783,0.725172775,0.667207037,0.526271172,0.015749411,-0.114790741,-0.168251626,-0.200261214,-0.237752129,-0.285032527,65.9
1,0.891162169,0.855294835,0.831078844,0.746526031,0.657325619,0.539617027,0.073288168,-0.134712387,-0.122188485,-0.179787458,-0.280031971,-0.366164485,65.9
1,0.859961041,0.697316413,0.67492569,0.600583056,0.545949501,0.464713531,-0.092139549,-0.145707992,-0.164970318,-0.171271783,-0.299176466,-0.359317021,65.9
1,0.951398161,0.775952372,0.727659888,0.631412204,0.558705724,0.470545903,0.003501701,-0.164323849,-0.194258369,-0.225216754,-0.254233771,-0.333868297,65.9
1,0.853589533,0.708839258,0.708386201,0.634342834,0.55570249,0.522253754,-0.105568374,-0.127854866,-0.104895411,-0.160881494,-0.280301087,-0.281708238,65.9
1,0.978173507,0.825816079,0.838609518,0.734002763,0.631448129,0.536636129,-0.067165383,-0.149266834,-0.173431562,-0.175830421,-0.256244943,-0.297446347,65.9
1,0.83637598,0.783476262,0.780798135,0.521136674,0.266039383,0.138985147,-0.051953213,-0.209811002,-0.257919931,-0.722571203,-0.920832733,-1.088764969,65.9
1,0.881229027,0.767299553,0.742193606,0.657368489,0.576762223,0.495421571,0.061104202,-0.170464526,-0.149616381,-0.18601832,-0.258675358,-0.320360121,65.9
1,0.828057569,0.752753151,0.725153009,0.638355166,0.563995604,0.514957442,0.001121646,-0.184992463,-0.184581375,-0.182428707,-0.275581715,-0.2654774,65.9
